site,mean_daylight_irr,mae_d1,mae_d2,mae_d3,mae_d4,mae_d5,mae_d6,mae_d7
Seville ES,414.5,42.1,44.4,50.3,55.3,58.5,66.2,71.2
Wiltshire UK,285.6,76.9,45.1,53.0,60.2,69.4,119.0,109.6
Leipzig DE,292.7,57.0,62.8,67.7,77.2,84.1,88.2,102.7
Heraklion GR,433.1,33.1,35.0,38.1,48.1,51.5,53.8,69.2
